Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"E07",Absolute Quantification,"ABS","19153",Ch1Unknown,"HbS","Manual",16.7,ddPCR Supermix for Probes (no dUTP),334,,,18.6,14.9,313,21834,3,310,299,21535,0,22147,,,,,,,,1.04,,,1.2,0.87,50.9,,,54.9,46.9,1,1,2371,6394.7,980.13,1056.7,"",,,,17.7,15.8,,,,,,,1.12,0.95,,,52.9,48.9,
"E08",Absolute Quantification,"ABS","19153",Ch1Unknown,"HbS","Manual",16.2,ddPCR Supermix for Probes (no dUTP),324,,,18,14.3,297,21461,3,294,305,21156,0,21758,,,,,,,,0.96,,,1.12,0.81,49.1,,,53.1,45.1,1,1,2371,6354.6,972.85,1046.3,"",,,,17.1,15.2,,,,,,,1.04,0.89,,,51.1,47.1,
"E09",Absolute Quantification,"ABS","20810",Ch1Unknown,"HbS","Manual",20.2,ddPCR Supermix for Probes (no dUTP),404,,,22.4,18,325,18755,7,318,324,18431,0.0869,19080,,,,,,,,0.98,,,1.13,0.83,49.5,,,53.4,45.7,1,1,2214,5847.4,925.73,1009.6,"",,,,21.3,19.1,,,,,,,1.06,0.91,,,51.5,47.6,
"E10",Absolute Quantification,"ABS","19RG-220G0190",Ch1Unknown,"HbS","Manual",145,ddPCR Supermix for Probes (no dUTP),2900,,,150,139,2641,20155,302,2339,2280,17875,0.189,22796,,,,,,,,1.02,,,1.08,0.97,50.6,,,52,49.2,1,1,2371,7035.9,1054.3,1747.3,"",,,,147.7,142,,,,,,,1.053,0.996,,,51.3,49.9,
"F02",Absolute Quantification,"ABS","17006",Ch1Unknown,"HbS","Manual",24,ddPCR Supermix for Probes (no dUTP),480,,,26.2,21.7,432,20974,7,425,464,20510,0,21406,,,,,,,,0.92,,,1.04,0.8,47.8,,,51.1,44.6,1,1,2371,6378.6,1002,1110.5,"",,,,25.1,22.8,,,,,,,0.98,0.86,,,49.5,46.2,
"F03",Absolute Quantification,"ABS","17006",Ch1Unknown,"HbS","Manual",23.2,ddPCR Supermix for Probes (no dUTP),464,,,25.4,21,432,21674,9,423,476,21198,0,22106,,,,,,,,0.89,,,1,0.77,47.1,,,50.3,43.8,1,1,2371,6171.9,999.3,1100.4,"",,,,24.3,22.1,,,,,,,0.95,0.83,,,48.7,45.4,
"F04",Absolute Quantification,"ABS","17127",Ch1Unknown,"HbS","Manual",7.4,ddPCR Supermix for Probes (no dUTP),148,,,8.6,6.2,142,22552,1,141,170,22382,0,22694,,,,,,,,0.83,,,1.01,0.65,45,,,51,40,1,1,2371,6246.7,980.55,1013.5,"",,,,8,6.8,,,,,,,0.92,0.74,,,48.2,42.5,
"F05",Absolute Quantification,"ABS","NTC",Ch1Unknown,"HbS","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.19,0,0,18655,0,0,1,18654,0,18655,,,,,,,,,,,,,,,,,,1,1,2371,0,1241.9,1241.9,"",,,,0.086,0,,,,,,,,,,,,,
"F06",Absolute Quantification,"ABS","17472",Ch1Unknown,"HbS","Manual",5,ddPCR Supermix for Probes (no dUTP),100,,,6,4,95,22455,0,95,101,22354,0,22550,,,,,,,,0.94,,,1.2,0.68,48,,,55,41,1,1,2371,5959.1,968.91,989.94,"",,,,5.5,4.5,,,,,,,1.07,0.81,,,52,44.9,
"F07",Absolute Quantification,"ABS","19153",Ch1Unknown,"HbS","Manual",18.7,ddPCR Supermix for Probes (no dUTP),374,,,20.6,16.8,368,22990,7,361,325,22665,0.0918,23358,,,,,,,,1.11,,,1.27,0.94,52.6,,,56.3,48.9,1,1,2371,6396.9,977.86,1063.2,"",,,,19.7,17.7,,,,,,,1.19,1.03,,,54.5,50.7,
"F08",Absolute Quantification,"ABS","19153",Ch1Unknown,"HbS","Manual",19.4,ddPCR Supermix for Probes (no dUTP),388,,,21.4,17.4,373,22452,5,368,318,22134,0,22825,,,,,,,,1.16,,,1.33,0.98,53.6,,,57.3,49.9,1,1,2371,6403.5,972.91,1061.7,"",,,,20.4,18.4,,,,,,,1.24,1.07,,,55.5,51.7,
"F09",Absolute Quantification,"ABS","20810",Ch1Unknown,"HbS","Manual",18.8,ddPCR Supermix for Probes (no dUTP),376,,,20.8,16.9,362,22427,10,352,462,21965,0.134,22789,,,,,,,,0.77,,,0.87,0.66,43.3,,,46.7,40,1,1,2214,5941.3,969.06,1048,"",,,,19.8,17.8,,,,,,,0.82,0.71,,,45.1,41.6,
"F10",Absolute Quantification,"ABS","19RG-220G0190",Ch1Unknown,"HbS","Manual",136,ddPCR Supermix for Probes (no dUTP),2720,,,142,131,2176,17694,249,1927,2020,15674,0.0389,19870,,,,,,,,0.96,,,1.01,0.9,48.9,,,50.4,47.4,1,1,2371,7036,1050.2,1705.8,"",,,,139.4,133.5,,,,,,,0.985,0.928,,,49.6,48.1,
"G02",Absolute Quantification,"ABS","17006",Ch1Unknown,"HbS","Manual",26.4,ddPCR Supermix for Probes (no dUTP),528,,,28.8,24,456,20100,11,445,467,19633,0.0238,20556,,,,,,,,0.95,,,1.08,0.83,48.8,,,52,45.6,1,1,2371,6366.8,998.75,1117.8,"",,,,27.6,25.2,,,,,,,1.02,0.89,,,50.4,47.2,
"G03",Absolute Quantification,"ABS","17006",Ch1Unknown,"HbS","Manual",26,ddPCR Supermix for Probes (no dUTP),520,,,28.2,23.7,515,23070,16,499,503,22567,0.243,23585,,,,,,,,0.99,,,1.11,0.87,49.8,,,52.9,46.8,1,1,2371,6192.3,960.82,1075,"",,,,27.1,24.8,,,,,,,1.05,0.93,,,51.4,48.2,
"G04",Absolute Quantification,"ABS","17127",Ch1Unknown,"HbS","Manual",7.4,ddPCR Supermix for Probes (no dUTP),148,,,8.6,6.2,141,22371,0,141,169,22202,0,22512,,,,,,,,0.83,,,1.02,0.65,45,,,51,40,1,1,2371,6230.4,996.93,1029.7,"",,,,8,6.8,,,,,,,0.93,0.74,,,48.3,42.6,
"G05",Absolute Quantification,"ABS","17472",Ch1Unknown,"HbS","Manual",5.5,ddPCR Supermix for Probes (no dUTP),110,,,6.6,4.5,108,22993,0,108,133,22860,0,23101,,,,,,,,0.81,,,1.02,0.61,45,,,51,39,1,1,2371,6114.4,955.39,979.51,"",,,,6,5,,,,,,,0.92,0.71,,,48,41.6,
"G06",Absolute Quantification,"ABS","17472",Ch1Unknown,"HbS","Manual",6.4,ddPCR Supermix for Probes (no dUTP),128,,,7.5,5.3,124,22728,1,123,142,22586,0.0117,22852,,,,,,,,0.87,,,1.08,0.66,46,,,52,40,1,1,2371,6160.4,987.01,1015.1,"",,,,7,5.8,,,,,,,0.97,0.76,,,49.5,43.4,
"G07",Absolute Quantification,"ABS","19153",Ch1Unknown,"HbS","Manual",19,ddPCR Supermix for Probes (no dUTP),380,,,21,17,343,21041,9,334,304,20737,0.226,21384,,,,,,,,1.1,,,1.26,0.93,52.3,,,56.1,48.5,1,1,2371,6281.5,974.89,1060,"",,,,20.1,18,,,,,,,1.18,1.01,,,54.3,50.4,
"G08",Absolute Quantification,"ABS","19153",Ch1Unknown,"HbS","Manual",17.2,ddPCR Supermix for Probes (no dUTP),344,,,19.1,15.2,300,20403,3,297,279,20124,0,20703,,,,,,,,1.06,,,1.24,0.89,51.6,,,55.6,47.5,1,1,2371,6347,982.63,1060.4,"",,,,18.2,16.2,,,,,,,1.15,0.98,,,53.6,49.5,
"G09",Absolute Quantification,"ABS","20810",Ch1Unknown,"HbS","Manual",22,ddPCR Supermix for Probes (no dUTP),440,,,24.1,19.8,417,22141,8,409,481,21660,0,22558,,,,,,,,0.85,,,0.96,0.74,46,,,49.2,42.7,1,1,2214,6115.7,993.14,1087.8,"",,,,23,20.9,,,,,,,0.91,0.79,,,47.6,44.3,
"G10",Absolute Quantification,"ABS","19RG-220G0190",Ch1Unknown,"HbS","Manual",137,ddPCR Supermix for Probes (no dUTP),2740,,,142,132,2575,20867,330,2245,2283,18584,2.72,23442,,,,,,,,0.98,,,1.04,0.93,49.6,,,51,48.3,1,1,2371,6958.8,1045,1694.6,"",,,,139.6,134.2,,,,,,,1.012,0.957,,,50.3,48.9,
"H02",Absolute Quantification,"ABS","17006",Ch1Unknown,"HbS","Manual",25.4,ddPCR Supermix for Probes (no dUTP),508,,,27.8,23.1,447,20473,9,438,416,20057,0,20920,,,,,,,,1.05,,,1.19,0.91,51.3,,,54.6,48,1,1,2371,6376,991.95,1107,"",,,,26.6,24.2,,,,,,,1.12,0.98,,,53,49.6,
"H03",Absolute Quantification,"ABS","17006",Ch1Unknown,"HbS","Manual",22,ddPCR Supermix for Probes (no dUTP),440,,,24.2,19.9,401,21223,9,392,412,20811,0.0674,21624,,,,,,,,0.95,,,1.08,0.82,48.8,,,52.2,45.4,1,1,2371,6242.6,996.64,1093.9,"",,,,23.1,20.9,,,,,,,1.02,0.89,,,50.5,47,
"H04",Absolute Quantification,"ABS","17127",Ch1Unknown,"HbS","Manual",8.1,ddPCR Supermix for Probes (no dUTP),162,,,9.4,6.9,159,22883,1,158,150,22733,0,23042,,,,,,,,1.05,,,1.29,0.82,51,,,57,46,1,1,2371,6148.8,989.57,1025.2,"",,,,8.8,7.5,,,,,,,1.17,0.93,,,54.1,48.5,
"H05",Absolute Quantification,"ABS","17472",Ch1Unknown,"HbS","Manual",5.5,ddPCR Supermix for Probes (no dUTP),110,,,6.5,4.4,104,22258,0,104,129,22129,0,22362,,,,,,,,0.81,,,1.01,0.6,45,,,51,38,1,1,2371,6432,977.23,1002.6,"",,,,6,4.9,,,,,,,0.91,0.7,,,47.9,41.4,
"H06",Absolute Quantification,"ABS","17472",Ch1Unknown,"HbS","Manual",6.2,ddPCR Supermix for Probes (no dUTP),124,,,7.3,5.1,116,21981,1,115,119,21862,0.0199,22097,,,,,,,,0.97,,,1.21,0.72,49,,,56,43,1,1,2371,6199.2,1008.5,1035.8,"",,,,6.8,5.6,,,,,,,1.09,0.84,,,52.4,45.9,
"H07",Absolute Quantification,"ABS","19153",Ch1Unknown,"HbS","Manual",19.3,ddPCR Supermix for Probes (no dUTP),386,,,21.2,17.3,371,22479,5,366,321,22158,0,22850,,,,,,,,1.14,,,1.31,0.97,53.3,,,57,49.5,1,1,2371,6378.4,986.67,1074.2,"",,,,20.3,18.3,,,,,,,1.23,1.05,,,55.1,51.4,
"H08",Absolute Quantification,"ABS","19153",Ch1Unknown,"HbS","Manual",19.8,ddPCR Supermix for Probes (no dUTP),396,,,21.9,17.7,338,19945,7,331,290,19655,0.123,20283,,,,,,,,1.14,,,1.32,0.96,53.3,,,57.1,49.4,1,1,2371,6463.1,1007.9,1098.8,"",,,,20.8,18.7,,,,,,,1.23,1.05,,,55.2,51.3,
"H09",Absolute Quantification,"ABS","20810",Ch1Unknown,"HbS","Manual",22.8,ddPCR Supermix for Probes (no dUTP),456,,,25.1,20.6,397,20250,5,392,348,19902,0,20647,,,,,,,,1.13,,,1.29,0.96,53,,,56.5,49.4,1,1,2214,6180.9,1000.3,1100,"",,,,24,21.7,,,,,,,1.21,1.04,,,54.8,51.1,
"H10",Absolute Quantification,"ABS","NTC",Ch1Unknown,"HbS","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.15,0,0,23276,0,0,0,23276,0,23276,,,,,,,,,,,,,,,,,,1,1,2371,0,979.23,979.23,"",,,,0.069,0,,,,,,,,,,,,,
"A11",Absolute Quantification,"ABS","NTC",Ch1Unknown,"HbS","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.21,0,0,16920,0,0,0,16920,0,16920,,,,,,,,,,,,,,,,,,1,1,2371,0,942.74,942.74,"",,,,0.095,0,,,,,,,,,,,,,
"B11",Absolute Quantification,"ABS","NTC",Ch1Unknown,"HbS","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.16,0,0,22374,0,0,0,22374,0,22374,,,,,,,,,,,,,,,,,,1,1,2371,0,985.52,985.52,"",,,,0.072,0,,,,,,,,,,,,,
"A01",Absolute Quantification,"ABS","16750",Ch2Unknown,"HbA","Manual",14.2,ddPCR Supermix for Probes (no dUTP),284,,,16,12.5,255,20975,3,256,252,20719,0,21230,,,,,,,,1.02,,,1.19,0.84,50.4,,,54.7,46.1,1,1,1652,3295.7,880.75,909.76,"",,,,15.1,13.3,,,,,,,1.11,0.93,,,52.6,48.2,
"B01",Absolute Quantification,"ABS","16750",Ch2Unknown,"HbA","Manual",13.3,ddPCR Supermix for Probes (no dUTP),266,,,14.9,11.6,254,22410,4,277,250,22133,0.0452,22664,,,,,,,,1.11,,,1.29,0.92,52.5,,,56.8,48.3,1,1,1652,3370.2,887.21,915.04,"",,,,14.1,12.4,,,,,,,1.2,1.01,,,54.7,50.4,
"C01",Absolute Quantification,"ABS","16750",Ch2Unknown,"HbA","Manual",14.7,ddPCR Supermix for Probes (no dUTP),294,,,16.4,12.9,262,20896,4,249,258,20647,0.0494,21158,,,,,,,,0.97,,,1.13,0.8,49.1,,,53.4,44.8,1,1,1652,3328.1,870.99,901.42,"",,,,15.6,13.8,,,,,,,1.05,0.88,,,51.3,46.9,
"D01",Absolute Quantification,"ABS","16750",Ch2Unknown,"HbA","Manual",14.3,ddPCR Supermix for Probes (no dUTP),286,,,16,12.6,267,21789,1,265,266,21524,0,22056,,,,,,,,1,,,1.17,0.83,49.9,,,54.2,45.7,1,1,1652,3391.4,880.45,910.85,"",,,,15.2,13.5,,,,,,,1.08,0.91,,,52.1,47.7,
"E01",Absolute Quantification,"ABS","16750",Ch2Unknown,"HbA","Manual",14.5,ddPCR Supermix for Probes (no dUTP),290,,,16.4,12.6,216,17426,3,218,213,17208,0.0201,17642,,,,,,,,1.02,,,1.22,0.83,50.6,,,55.3,45.9,1,1,1652,3380.4,877.23,907.88,"",,,,15.5,13.5,,,,,,,1.12,0.93,,,53,48.2,
"F01",Absolute Quantification,"ABS","16750",Ch2Unknown,"HbA","Manual",13.4,ddPCR Supermix for Probes (no dUTP),268,,,15.1,11.8,252,21964,1,244,251,21720,0,22216,,,,,,,,0.97,,,1.14,0.8,49.3,,,53.7,44.9,1,1,1652,3356.8,881.85,909.92,"",,,,14.3,12.6,,,,,,,1.06,0.88,,,51.5,47,
"G01",Absolute Quantification,"ABS","16750",Ch2Unknown,"HbA","Manual",15.1,ddPCR Supermix for Probes (no dUTP),302,,,17,13.2,244,18875,4,232,240,18643,0.0624,19119,,,,,,,,0.97,,,1.14,0.79,49.2,,,53.6,44.7,1,1,1652,3386.2,868.56,900.69,"",,,,16.1,14.1,,,,,,,1.06,0.88,,,51.4,46.9,
"H01",Absolute Quantification,"ABS","16750",Ch2Unknown,"HbA","Manual",14.6,ddPCR Supermix for Probes (no dUTP),292,,,16.3,12.8,266,21350,3,272,263,21078,0,21616,,,,,,,,1.03,,,1.21,0.86,50.8,,,55,46.6,1,1,1652,3363.1,869.35,900.03,"",,,,15.5,13.7,,,,,,,1.12,0.95,,,53,48.7,
"A02",Absolute Quantification,"ABS","16750",Ch2Unknown,"HbA","Manual",13.2,ddPCR Supermix for Probes (no dUTP),264,,,14.9,11.5,233,20577,3,232,230,20345,0.0213,20810,,,,,,,,1.01,,,1.19,0.83,50.2,,,54.7,45.7,1,1,1652,3319.8,871.65,899.06,"",,,,14.1,12.4,,,,,,,1.1,0.92,,,52.5,47.9,
"A03",Absolute Quantification,"ABS","17006",Ch2Unknown,"HbA","Manual",27.3,ddPCR Supermix for Probes (no dUTP),546,,,29.7,24.9,507,21616,8,457,499,21159,0,22123,,,,,,,,0.92,,,1.03,0.8,47.8,,,51,44.7,1,1,1652,3242,879.43,933.57,"",,,,28.5,26.1,,,,,,,0.98,0.86,,,49.4,46.2,
"A04",Absolute Quantification,"ABS","17127",Ch2Unknown,"HbA","Manual",9.4,ddPCR Supermix for Probes (no dUTP),188,,,10.8,8,167,20780,0,122,167,20658,0,20947,,,,,,,,0.73,,,0.9,0.56,42,,,48,36,1,1,1652,3229.9,875.05,893.83,"",,,,10.1,8.7,,,,,,,0.82,0.64,,,45.1,39.3,
"A05",Absolute Quantification,"ABS","17127",Ch2Unknown,"HbA","Manual",9.5,ddPCR Supermix for Probes (no dUTP),190,,,10.9,8.1,177,21790,1,138,176,21652,0,21967,,,,,,,,0.78,,,0.96,0.61,44,,,49,38,1,1,1652,3193.7,907.95,926.37,"",,,,10.2,8.8,,,,,,,0.87,0.7,,,46.8,41.2,
"A06",Absolute Quantification,"ABS","17472",Ch2Unknown,"HbA","Manual",6.3,ddPCR Supermix for Probes (no dUTP),126,,,7.5,5.2,112,20791,0,92,112,20699,0,20903,,,,,,,,0.82,,,1.05,0.59,45,,,52,38,1,1,1652,3257.5,886.41,899.12,"",,,,6.9,5.7,,,,,,,0.94,0.71,,,48.6,41.6,
"A07",Absolute Quantification,"ABS","17472",Ch2Unknown,"HbA","Manual",6.1,ddPCR Supermix for Probes (no dUTP),122,,,7.2,4.9,109,21101,0,101,109,21000,0,21210,,,,,,,,0.93,,,1.18,0.68,48,,,55,41,1,1,1652,3234.9,869.47,881.62,"",,,,6.6,5.5,,,,,,,1.05,0.8,,,51.5,44.6,
"A08",Absolute Quantification,"ABS","19153",Ch2Unknown,"HbA","Manual",17.9,ddPCR Supermix for Probes (no dUTP),358,,,19.8,15.9,336,21972,6,345,330,21627,0.0388,22308,,,,,,,,1.04,,,1.2,0.89,51.1,,,54.8,47.4,1,1,1652,3464.2,883.8,922.66,"",,,,18.8,16.9,,,,,,,1.12,0.97,,,53,49.2,
"A09",Absolute Quantification,"ABS","20810",Ch2Unknown,"HbA","Manual",22.7,ddPCR Supermix for Probes (no dUTP),454,,,24.9,20.5,423,21716,7,400,416,21316,0,22139,,,,,,,,0.96,,,1.09,0.83,49,,,52.4,45.6,1,1,1542,3241.7,888.48,933.45,"",,,,23.8,21.6,,,,,,,1.03,0.9,,,50.8,47.3,
"A10",Absolute Quantification,"ABS","20810",Ch2Unknown,"HbA","Manual",24.6,ddPCR Supermix for Probes (no dUTP),492,,,26.8,22.3,468,22190,10,425,458,21765,0.0549,22658,,,,,,,,0.93,,,1.05,0.81,48.2,,,51.4,44.9,1,1,1542,3256.7,887.56,936.49,"",,,,25.7,23.4,,,,,,,0.99,0.87,,,49.8,46.5,
"B02",Absolute Quantification,"ABS","16750",Ch2Unknown,"HbA","Manual",15.5,ddPCR Supermix for Probes (no dUTP),310,,,17.3,13.7,285,21464,4,260,281,21204,0.03,21749,,,,,,,,0.93,,,1.08,0.77,48.1,,,52.3,43.9,1,1,1652,3296.2,872.27,904.04,"",,,,16.4,14.6,,,,,,,1,0.85,,,50.2,45.9,
"B03",Absolute Quantification,"ABS","17006",Ch2Unknown,"HbA","Manual",25.7,ddPCR Supermix for Probes (no dUTP),514,,,28,23.3,472,21408,16,450,456,20958,0.334,21880,,,,,,,,0.99,,,1.11,0.86,49.7,,,52.9,46.5,1,1,1652,3278.7,908.21,959.35,"",,,,26.8,24.5,,,,,,,1.05,0.92,,,51.3,48,
"B04",Absolute Quantification,"ABS","17127",Ch2Unknown,"HbA","Manual",8.1,ddPCR Supermix for Probes (no dUTP),162,,,9.4,6.8,156,22582,0,149,156,22433,0,22738,,,,,,,,0.95,,,1.17,0.74,49,,,54,43,1,1,1652,3221,861.18,877.37,"",,,,8.7,7.5,,,,,,,1.06,0.85,,,51.7,46,
"B05",Absolute Quantification,"ABS","17127",Ch2Unknown,"HbA","Manual",9.1,ddPCR Supermix for Probes (no dUTP),182,,,10.4,7.7,175,22564,1,128,174,22436,0.000378,22739,,,,,,,,0.74,,,0.9,0.57,42,,,48,37,1,1,1652,3133.7,846.71,864.31,"",,,,9.8,8.4,,,,,,,0.82,0.65,,,45.2,39.6,
"B06",Absolute Quantification,"ABS","17472",Ch2Unknown,"HbA","Manual",5.3,ddPCR Supermix for Probes (no dUTP),106,,,6.5,4.3,97,21330,0,110,97,21220,0,21427,,,,,,,,1.13,,,1.44,0.82,53,,,60,46,1,1,1652,3239.6,842.46,853.31,"",,,,5.9,4.8,,,,,,,1.29,0.98,,,56.6,49.7,
"B07",Absolute Quantification,"ABS","17472",Ch2Unknown,"HbA","Manual",6.5,ddPCR Supermix for Probes (no dUTP),130,,,7.7,5.4,129,23196,0,131,129,23065,0,23325,,,,,,,,1.02,,,1.26,0.77,50,,,56,44,1,1,1652,3225.1,867.95,880.99,"",,,,7.1,6,,,,,,,1.14,0.89,,,53.5,47.3,
"B08",Absolute Quantification,"ABS","19153",Ch2Unknown,"HbA","Manual",16.5,ddPCR Supermix for Probes (no dUTP),330,,,18.3,14.7,321,22789,8,371,313,22418,0.144,23110,,,,,,,,1.18,,,1.36,1.01,54.2,,,57.9,50.5,1,1,1652,3338.6,864.74,899.1,"",,,,17.4,15.5,,,,,,,1.27,1.09,,,56.1,52.3,
"B09",Absolute Quantification,"ABS","20810",Ch2Unknown,"HbA","Manual",26.2,ddPCR Supermix for Probes (no dUTP),524,,,28.6,23.8,464,20615,6,424,458,20191,0,21079,,,,,,,,0.93,,,1.05,0.8,48.1,,,51.4,44.8,1,1,1542,3077.4,836.26,885.59,"",,,,27.4,25,,,,,,,0.99,0.86,,,49.7,46.4,
"B10",Absolute Quantification,"ABS","20810",Ch2Unknown,"HbA","Manual",23.9,ddPCR Supermix for Probes (no dUTP),478,,,26.1,21.7,460,22407,4,419,456,21988,0,22867,,,,,,,,0.92,,,1.04,0.8,47.9,,,51.2,44.6,1,1,1542,3230.7,881.62,928.87,"",,,,25,22.8,,,,,,,0.98,0.86,,,49.6,46.2,
"C02",Absolute Quantification,"ABS","16750",Ch2Unknown,"HbA","Manual",13.6,ddPCR Supermix for Probes (no dUTP),272,,,15.3,11.9,238,20491,3,217,235,20274,0.0275,20729,,,,,,,,0.92,,,1.09,0.75,48,,,52.6,43.4,1,1,1652,3148.5,815.31,842.1,"",,,,14.5,12.7,,,,,,,1.01,0.84,,,50.4,45.7,
"C03",Absolute Quantification,"ABS","17006",Ch2Unknown,"HbA","Manual",26.6,ddPCR Supermix for Probes (no dUTP),532,,,29,24.3,487,21258,11,384,476,20874,0.121,21745,,,,,,,,0.81,,,0.92,0.7,44.7,,,48,41.5,1,1,1652,3241.9,885.38,938.16,"",,,,27.9,25.4,,,,,,,0.86,0.75,,,46.4,43.1,
"C04",Absolute Quantification,"ABS","17127",Ch2Unknown,"HbA","Manual",7.2,ddPCR Supermix for Probes (no dUTP),144,,,8.4,5.9,131,21474,1,128,130,21346,0.012,21605,,,,,,,,0.98,,,1.22,0.75,50,,,56,44,1,1,1652,3281.9,888.18,902.69,"",,,,7.8,6.5,,,,,,,1.11,0.86,,,52.7,46.5,
"C05",Absolute Quantification,"ABS","17127",Ch2Unknown,"HbA","Manual",8.3,ddPCR Supermix for Probes (no dUTP),166,,,9.6,7,162,22801,1,141,161,22660,0,22963,,,,,,,,0.88,,,1.07,0.68,47,,,52,41,1,1,1652,3135.5,855.54,871.63,"",,,,9,7.7,,,,,,,0.98,0.78,,,49.6,43.8,
"C06",Absolute Quantification,"ABS","17472",Ch2Unknown,"HbA","Manual",5.4,ddPCR Supermix for Probes (no dUTP),108,,,6.4,4.4,104,22581,0,136,104,22445,0,22685,,,,,,,,1.31,,,1.64,0.97,57,,,63,50,1,1,1652,3178.8,851.23,861.9,"",,,,5.9,4.9,,,,,,,1.48,1.14,,,59.9,53.5,
"C07",Absolute Quantification,"ABS","17472",Ch2Unknown,"HbA","Manual",4.9,ddPCR Supermix for Probes (no dUTP),98,,,5.9,3.9,92,22201,1,83,91,22118,0.0348,22293,,,,,,,,0.91,,,1.18,0.64,48,,,55,40,1,1,1652,3283.2,916.83,926.59,"",,,,5.4,4.4,,,,,,,1.05,0.78,,,51.5,44,
"C08",Absolute Quantification,"ABS","19153",Ch2Unknown,"HbA","Manual",15,ddPCR Supermix for Probes (no dUTP),300,,,16.7,13.2,292,22813,7,361,285,22452,0.123,23105,,,,,,,,1.26,,,1.46,1.07,55.8,,,59.6,52,1,1,1652,3437.8,874.77,907.17,"",,,,15.8,14.1,,,,,,,1.36,1.16,,,57.7,53.9,
"C09",Absolute Quantification,"ABS","20810",Ch2Unknown,"HbA","Manual",22.6,ddPCR Supermix for Probes (no dUTP),452,,,24.7,20.5,441,22743,8,427,433,22316,0,23184,,,,,,,,0.99,,,1.12,0.86,49.7,,,53,46.3,1,1,1542,3196.8,865.51,909.86,"",,,,23.7,21.5,,,,,,,1.05,0.92,,,51.3,48,
"C10",Absolute Quantification,"ABS","20810",Ch2Unknown,"HbA","Manual",25,ddPCR Supermix for Probes (no dUTP),500,,,27.4,22.6,416,19381,15,375,401,19006,0.421,19797,,,,,,,,0.94,,,1.07,0.81,48.4,,,51.8,44.9,1,1,1542,3196.7,870.44,919.33,"",,,,26.2,23.8,,,,,,,1,0.87,,,50.1,46.6,
"D02",Absolute Quantification,"ABS","16750",Ch2Unknown,"HbA","Manual",15.9,ddPCR Supermix for Probes (no dUTP),318,,,17.8,13.9,262,19297,5,271,257,19026,0.0806,19559,,,,,,,,1.05,,,1.23,0.88,51.3,,,55.5,47.1,1,1,1652,3314.2,852.86,885.83,"",,,,16.8,14.9,,,,,,,1.14,0.96,,,53.5,49.2,
"D03",Absolute Quantification,"ABS","17006",Ch2Unknown,"HbA","Manual",25.3,ddPCR Supermix for Probes (no dUTP),506,,,27.6,23.1,476,21855,10,456,466,21399,0.00368,22331,,,,,,,,0.98,,,1.1,0.85,49.5,,,52.7,46.3,1,1,1652,3288.3,869.49,921.05,"",,,,26.5,24.2,,,,,,,1.04,0.91,,,51.1,47.8,
"D04",Absolute Quantification,"ABS","17127",Ch2Unknown,"HbA","Manual",7.7,ddPCR Supermix for Probes (no dUTP),154,,,9,6.4,138,21028,0,127,138,20901,0,21166,,,,,,,,0.92,,,1.14,0.7,48,,,54,42,1,1,1652,3214,874.67,889.92,"",,,,8.4,7,,,,,,,1.03,0.81,,,51,44.8,
"D05",Absolute Quantification,"ABS","17127",Ch2Unknown,"HbA","Manual",9.3,ddPCR Supermix for Probes (no dUTP),186,,,10.7,7.9,173,21766,2,137,171,21629,0.0492,21939,,,,,,,,0.8,,,0.98,0.62,45,,,50,39,1,1,1652,3094.9,856.48,874.13,"",,,,10,8.6,,,,,,,0.89,0.71,,,47.3,41.7,
"D06",Absolute Quantification,"ABS","17472",Ch2Unknown,"HbA","Manual",4.9,ddPCR Supermix for Probes (no dUTP),98,,,6,3.9,91,21906,2,112,89,21794,0.0825,21997,,,,,,,,1.25,,,1.6,0.91,56,,,62,49,1,1,1652,3257.5,877.53,887.37,"",,,,5.4,4.4,,,,,,,1.43,1.08,,,59.1,52.2,
